"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of cuticle","GO:0042302","true","1.0673728111658047e-52","51.97168386403107","161","64","39","9802","WBGENE00000756,WBGENE00000628,WBGENE00000614,WBGENE00000659,WBGENE00000627,WBGENE00000758,WBGENE00000617,WBGENE00000724,WBGENE00000699,WBGENE00000723,WBGENE00000631,WBGENE00000676,WBGENE00000729,WBGENE00000728,WBGENE00000731,WBGENE00000618,WBGENE00000612,WBGENE00000751,WBGENE00000647,WBGENE00000665,WBGENE00000726,WBGENE00000615,WBGENE00000613,WBGENE00000684,WBGENE00000682,WBGENE00000688,WBGENE00000620,WBGENE00000653,WBGENE00000655,WBGENE00000622,WBGENE00001065,WBGENE00000737,WBGENE00001070,WBGENE00000707,WBGENE00000252,WBGENE00000697,WBGENE00001071,WBGENE00000712,WBGENE00000711"
"GO:MF","structural molecule activity","GO:0005198","false","4.598019612395389e-39","38.33742918062287","447","64","42","9802","WBGENE00000756,WBGENE00000628,WBGENE00000614,WBGENE00000659,WBGENE00000627,WBGENE00000758,WBGENE00000617,WBGENE00000724,WBGENE00000699,WBGENE00000723,WBGENE00000631,WBGENE00000676,WBGENE00000729,WBGENE00000728,WBGENE00000731,WBGENE00000618,WBGENE00000612,WBGENE00000751,WBGENE00000647,WBGENE00001933,WBGENE00000665,WBGENE00000726,WBGENE00000615,WBGENE00000613,WBGENE00000684,WBGENE00000682,WBGENE00000688,WBGENE00000620,WBGENE00000653,WBGENE00000655,WBGENE00000622,WBGENE00001065,WBGENE00000737,WBGENE00001070,WBGENE00000707,WBGENE00000252,WBGENE00000697,WBGENE00001934,WBGENE00001071,WBGENE00000712,WBGENE00001935,WBGENE00000711"
"KEGG","Lysosome","KEGG:04142","false","0.002697824284781484","2.5689863402960356","103","4","3","2803","WBGENE00000788,WBGENE00000786,WBGENE00000776"
"WP","Biosynthesis and regulation of nematode bile acids","WP:WP2293","false","0.024920255183413353","1.6034475148145988","4","1","1","627","WBGENE00000905"
