"Category","RGS","AC","PValue","Bonferroni"
"Non-coding RNA: tRNA",141,628,2.44766779116619e-49,3.25539816225103e-47
"Proteolysis proteasome: E3: F box",61,437,3.29252500317583e-14,4.37905825422385e-12
"Pseudogene",154,2081,5.26557442219207e-10,7.00321398151545e-08
"Unassigned",257,4113,1.36839032900867e-08,1.81995913758153e-06
"Unassigned: regulated by multiple stresses",121,1707,2.00146213876831e-07,2.66194464456185e-05
"Transmembrane protein: seven transmembrane receptor: srbc",13,70,2.57391044621026e-05,0.00342330089345965
