"Category","RGS","AC","PValue","Bonferroni"
"Unassigned",417,6343,1.22593745603799e-14,2.94224989449118e-13
"Pseudogene",154,2081,5.26557442219207e-10,1.2637378613261e-08
"Proteolysis proteasome",65,733,1.24169589057551e-07,2.98007013738122e-06
