"Category","RGS","AC","PValue","Bonferroni"
"Unassigned",419,6343,3.67141879839268e-14,8.81140511614243e-13
"Extracellular material",60,495,1.82048921508189e-11,4.36917411619654e-10
"Pseudogene",150,2081,9.28369782704683e-09,2.22808747849124e-07
"Proteolysis proteasome",64,733,4.0631473624641e-07,9.75155366991384e-06
