"Category","RGS","AC","PValue","Bonferroni"
"Non-coding RNA: tRNA",141,628,1.18590665133335e-48,1.55353771324669e-46
"Extracellular material: collagen",41,184,1.19024583819393e-15,1.55922204803405e-13
"Proteolysis proteasome: E3: F box",61,437,6.07105631244882e-14,7.95308376930795e-12
"Pseudogene",150,2081,9.28369782704683e-09,1.21616441534313e-06
"Unassigned: regulated by multiple stresses",127,1707,2.07087254032186e-08,2.71284302782164e-06
"Unassigned",257,4113,4.08837215251612e-08,5.35576751979612e-06
"Transmembrane protein: seven transmembrane receptor: srbc",13,70,2.9908012878133e-05,0.00391794968703542
