"Category","RGS","AC","PValue","Bonferroni"
"Non-coding RNA: tRNA",141,712,2.68434271177285e-43,2.36222158636011e-41
"Extracellular material: collagen",41,184,1.19024583819393e-15,1.04741633761066e-13
"Unassigned",419,6343,3.67141879839268e-14,3.23084854258556e-12
"Proteolysis proteasome: E3",62,590,1.46693243169985e-09,1.29090053989587e-07
"Pseudogene",150,2081,9.28369782704683e-09,8.16965408780121e-07
"Transcription factor: T box",7,21,0.00010040155068649,0.00883533646041112
