"GeneID","Results.baseMean","Results.log2FoldChange","Results.lfcSE","Results.stat","Results.pvalue","Results.padj"
"WBGene00000001",582.927460616587,0.0241738869247951,0.739759950534492,0.0326780152228152,0.973931355837169,1
"WBGene00000002",848.273500224545,0.159340474211345,0.542711271653623,0.29360081968786,0.769062949353635,1
"WBGene00000003",453.213145900457,0.554064357586327,0.737925562188699,0.750840445129674,0.452748685334221,1
"WBGene00000004",675.405913154316,0.839205326892742,0.744746457759045,1.12683359302967,0.259812844461448,1
"WBGene00000005",608.285925938444,-0.0406544568023866,1.70219146947131,-0.0238835980155708,0.980945457439397,1
"WBGene00000006",947.021913353703,0.27498452855024,1.03873919625551,0.26472913464854,0.79121813177474,1
"WBGene00000007",495.042500557634,0.0996030412974222,0.62523167847644,0.159305813710742,0.873427940575568,1
"WBGene00000008",57.2291523773569,-1.52653581509968,0.960675108480208,-1.58902401199368,0.11205497169719,1
"WBGene00000009",80.7809850986732,-2.38135795524901,0.675202167513626,-3.52688138430917,0.00042048509371701,0.14791371796676
"WBGene00000010",1075.88459518112,-0.107667874896438,0.418011519109254,-0.257571550003859,0.796737588806256,1
"WBGene00000012",1.74470893493431,1.40692048345033,2.32178889857948,0.605963997980657,0.544538660341098,NA
"WBGene00000013",144.463023259055,1.16799655134375,1.39441889775676,0.837622434135642,0.402242789075258,1
"WBGene00000014",1.40594305543803,0.48873061277436,3.67696536653658,0.132916838766612,0.894259149655603,NA
"WBGene00000015",20.0962512084869,-0.210173289843156,1.7727566460636,-0.118557327261949,0.905626074738963,1
"WBGene00000016",337.598200176873,1.25194430427375,1.09947647714391,1.1386731142497,0.254839520548029,1
"WBGene00000017",576.565656629504,0.513710622073334,0.991209901854818,0.518266233127862,0.604272528925592,1
"WBGene00000018",540.694113781649,0.608347486880649,0.68875988256535,0.883250465481239,0.377100960668996,1
"WBGene00000019",7.50347336722254,-3.6815579051701,2.06139405032593,-1.78595543369692,0.074106474336262,NA
"WBGene00000020",517.942870250189,1.58716765685783,0.587286586347958,2.70254368778901,0.0068811140907103,1
"WBGene00000021",1.28052781670495,-3.64412363096227,5.18172490227338,-0.703264588470044,0.481890874607343,NA
"WBGene00000022",839.480278885776,0.687712234772287,0.820520748718871,0.838141187588557,0.401951413110829,1
"WBGene00000023",12.4754210549817,-2.27164954575528,1.20207679577694,-1.88977073156715,0.058788629585192,NA
"WBGene00000024",29.5370779729653,-0.782265568672927,2.07500500488726,-0.376994545473605,0.70617765845496,1
"WBGene00000025",1.02238596720758,0,5.39771667936325,0,1,NA
"WBGene00000026",0.619376257341582,2.66354698188134,5.253742013804,0.50698092424085,0.612168203204704,NA
"WBGene00000027",0.35822695933609,0,5.39771667947361,0,1,NA
"WBGene00000028",0.113082649667907,1.30931005155754,5.33356361791505,0.245485035026049,0.806080894059537,NA
"WBGene00000029",85.6134158835103,-3.01329846689862,2.12866687958447,-1.41558009653762,0.15689848212789,1
"WBGene00000030",93.2080671382805,0.671196446758769,2.78377634256838,0.241110047705739,0.809469825531907,1
"WBGene00000031",472.141403850335,0.458959892821328,1.06492932993667,0.430976854444064,0.666485200030064,1
"WBGene00000032",5.27767058480698,0,5.39771667939188,0,1,NA
"WBGene00000033",188.547316540206,-0.0180675142458195,1.37407301351681,-0.0131488749637674,0.989509017978094,1
"WBGene00000034",237.288587628905,-1.8556107996302,1.09034789485279,-1.7018520495981,0.0887831064429444,1
"WBGene00000035",325.722269448743,0.207693027518693,0.50499644395563,0.41127621789143,0.680870006045781,1
"WBGene00000036",1733.2451234886,-0.0197178649289491,0.406131842463076,-0.0485504037540267,0.961277595386979,1
"WBGene00000037",253.173326203438,0.785597678977738,0.552881009651202,1.42091637307881,0.15534107249019,1
"WBGene00000038",70.3197147087643,0.911364300504617,0.959871221429971,0.949465178408943,0.342384074189388,1
"WBGene00000039",8070.62412095428,0.714319880195626,0.604047716827169,1.18255538477601,0.236985403217287,1
"WBGene00000040",5771.22695567173,0.503603637689544,0.809140446603214,0.622393355570941,0.533683248411359,1
"WBGene00000041",18954.5792186959,0.457471908481877,0.72257315912677,0.633115003932242,0.526658544974703,1
"WBGene00000042",91.3445844250055,0.85541798579605,0.765510569004549,1.11744764923156,0.263802971387726,1
"WBGene00000043",46.7836145818892,-0.479155171354001,0.761064865906289,-0.629585194139023,0.52896601304033,1
"WBGene00000044",133.610928722495,-0.238045454937369,0.617520217628774,-0.385486091210817,0.699877309391121,1
"WBGene00000045",13.2210653104512,0.17569257657531,1.00029969412694,0.175639938317339,0.860576823829806,NA
"WBGene00000046",36.3330385632228,0.118963297840287,0.789972539646633,0.150591687520557,0.880297819007441,1
"WBGene00000047",279.311684945859,0.243210493073607,0.814158846312606,0.298726095251716,0.765149044559617,1
"WBGene00000048",54.5375079089972,0.709655283885292,0.550389970002683,1.28936812544355,0.19727013720911,1
"WBGene00000049",16.7599703315673,0.396487727418861,1.17535222596175,0.337335241862862,0.735864195838351,1
"WBGene00000050",62.644142924222,0.0673222082562046,0.732629163242061,0.0918912481702033,0.926784444990279,1
"WBGene00000051",154.079016600283,0.573823511571966,0.797824506025182,0.719235254418037,0.471995980949632,1
"WBGene00000053",41.3529041693344,0.318836735530772,0.767454284541193,0.415447202462857,0.677814558094378,1
"WBGene00000054",242.268868410824,0.551847658806387,0.477308835102756,1.15616476843045,0.247613767673524,1
"WBGene00000055",286.609496902135,-0.233563244415005,0.435880226628694,-0.535842715833876,0.59206725753024,1
"WBGene00000056",70.744534012047,1.11359071541609,1.03045956278181,1.08067386206778,0.279842213872742,1
