"GeneID","Results.baseMean","Results.log2FoldChange","Results.lfcSE","Results.stat","Results.pvalue","Results.padj"
"WBGene00000001",582.927460616587,-0.175231799309988,0.739536485205164,-0.236948146326242,0.812697017968225,1
"WBGene00000002",848.273500224545,1.46255002797843,0.544086923430217,2.68808156380184,0.00718638406231456,0.363203735041303
"WBGene00000003",453.213145900457,0.900267775936944,0.739785500875679,1.21693081963799,0.223630538337638,1
"WBGene00000004",675.405913154316,-1.45155692250864,0.744394079232965,-1.94998450821149,0.0511779655283322,1
"WBGene00000005",608.285925938444,7.3344938809703,1.7324890808477,4.23350078338245,2.30081380631407e-05,0.00430252181780731
"WBGene00000006",947.021913353703,-0.666538863631935,1.0385848217656,-0.641776049161604,0.521018602851103,1
"WBGene00000007",495.042500557634,0.885455203871897,0.626292247615357,1.41380514806517,0.157419121617068,1
"WBGene00000008",57.2291523773569,-0.441835485885429,0.937206610569726,-0.471438721091434,0.637327470152443,1
"WBGene00000009",80.7809850986732,-1.60076211656872,0.603744652861687,-2.65138930668997,0.00801613843258912,0.392851369475569
"WBGene00000010",1075.88459518112,0.240369041078145,0.418034749071211,0.574997752249535,0.565292817171311,1
"WBGene00000012",1.74470893493431,-2.59891627191965,2.26028143685307,-1.14981976560319,0.250218112565959,NA
"WBGene00000013",144.463023259055,-2.66438162888073,1.39123065455815,-1.91512573429237,0.0554764706499293,1
"WBGene00000014",1.40594305543803,0.343319638843143,3.75218336738033,0.0914986303248926,0.927096394515017,NA
"WBGene00000015",20.0962512084869,2.1755786525392,1.8209980115951,1.19471775294993,0.232197323895996,1
"WBGene00000016",337.598200176873,-3.73308622336067,1.09605402263079,-3.40593268788009,0.00065938434441418,0.0645882664980937
"WBGene00000017",576.565656629504,-2.17236432854271,0.989846416037072,-2.1946478699594,0.0281888668629483,0.83700003073185
"WBGene00000018",540.694113781649,-0.0669387192279974,0.689145087009941,-0.0971329847513398,0.922620786657577,1
"WBGene00000019",7.50347336722254,0.772750227730369,1.93396058250299,0.399568757875227,0.689474171361516,1
"WBGene00000020",517.942870250189,-0.614028410447362,0.588112399909009,-1.04406642427938,0.296454658733352,1
"WBGene00000021",1.28052781670495,5.56563072191983,5.22324634895266,1.06555011004523,0.286627062031575,NA
"WBGene00000022",839.480278885776,-0.927805904193622,0.820379928135636,-1.13094661677318,0.258077560843975,1
"WBGene00000023",12.4754210549817,2.36763149312387,1.20146683780619,1.97061743081236,0.0487676513330383,1
"WBGene00000024",29.5370779729653,-1.54368372450378,1.96872907388315,-0.784101654708128,0.432980464571423,1
"WBGene00000025",1.02238596720758,-3.42848896327738,5.23042397707328,-0.655489684642318,0.512152525696636,NA
"WBGene00000026",0.619376257341582,-2.78331072449387,5.24650298847208,-0.530507793593089,0.595759906881561,NA
"WBGene00000027",0.35822695933609,-1.58405746128834,5.3034627354324,-0.298683622438838,0.765181454349213,NA
"WBGene00000028",0.113082649667907,0,5.39799191011387,0,1,NA
"WBGene00000029",85.6134158835103,1.18956051766177,2.01196307664666,0.591243711909669,0.554357138273406,1
"WBGene00000030",93.2080671382805,-0.123259844228906,2.7905699105303,-0.0441701330483715,0.964768789183638,1
"WBGene00000031",472.141403850335,-2.9719449763312,1.06026549732363,-2.80301960578093,0.00506265916305785,0.286587561370948
"WBGene00000032",5.27767058480698,-3.67633784569127,5.22590363393882,-0.703483665832616,0.481754382609894,1
"WBGene00000033",188.547316540206,-2.46474483090489,1.36282512138423,-1.80855547218079,0.0705200914788904,1
"WBGene00000034",237.288587628905,-2.50010115289508,1.06792290701806,-2.34108767258871,0.0192276513460985,0.674586970169282
"WBGene00000035",325.722269448743,-0.493532152716343,0.504212102341464,-0.97881853772346,0.327669648474725,1
"WBGene00000036",1733.2451234886,-0.620176819322296,0.405809616835021,-1.52824574281694,0.126451535482422,1
"WBGene00000037",253.173326203438,-0.829491332003383,0.552609637250001,-1.50104391253698,0.133344204105917,1
"WBGene00000038",70.3197147087643,-1.73006948889138,0.955630418301811,-1.81039600221786,0.0702343988183987,1
"WBGene00000039",8070.62412095428,3.44791595958973,0.604728350625362,5.70159470119793,1.18691765071884e-08,6.26022976289401e-06
"WBGene00000040",5771.22695567173,3.22031174540961,0.809877575944462,3.97629449321912,6.99974343324396e-05,0.0109912001848724
"WBGene00000041",18954.5792186959,-0.0205446164573189,0.722581470998324,-0.0284322492091228,0.977317403442913,1
"WBGene00000042",91.3445844250055,-1.11745196157914,0.764013299705982,-1.46260799649584,0.143574673907402,1
"WBGene00000043",46.7836145818892,1.42910673202344,0.770628258644055,1.85446966938118,0.063671995532171,1
"WBGene00000044",133.610928722495,-3.07829548523832,0.603145839381103,-5.10373326689446,3.33017571091806e-07,0.000110486636086427
"WBGene00000045",13.2210653104512,-0.948886949356099,0.980630965242514,-0.96762898887395,0.333229694183311,1
"WBGene00000046",36.3330385632228,0.3574179686405,0.795551297896051,0.449270800746279,0.653236318789218,1
"WBGene00000047",279.311684945859,0.246944341022951,0.814707006786992,0.303108159087571,0.761807436420804,1
"WBGene00000048",54.5375079089972,0.541383582749506,0.5625076696248,0.962446579813955,0.335825325127615,1
"WBGene00000049",16.7599703315673,-0.660573457866129,1.17075295725941,-0.564229587267027,0.572597894358607,1
"WBGene00000050",62.644142924222,0.841221838932587,0.739030770968951,1.13827714890633,0.255004772704328,1
"WBGene00000051",154.079016600283,-0.917281793626179,0.796801344764125,-1.1512051274182,0.249647856298841,1
"WBGene00000053",41.3529041693344,-0.908883106748356,0.761107405906866,-1.19415880031467,0.232415855794604,1
"WBGene00000054",242.268868410824,-0.355380261953125,0.477546214998884,-0.74417983179692,0.456767687685519,1
"WBGene00000055",286.609496902135,0.545187812448507,0.436402709414335,1.24927687360183,0.211563823483847,1
"WBGene00000056",70.744534012047,-1.67803143705028,1.02797082281095,-1.63237263141551,0.102601011014015,1
"WBGene00000057",69.7784867577283,-2.5876279962204,0.943750569447654,-2.74185582503527,0.00610931505920074,0.330706870441472
"WBGene00000058",78.8269539742079,-1.4410004004576,0.784863683309745,-1.83598812265201,0.0663594132955346,1
"WBGene00000059",68.0445001133647,-1.11297635076413,0.930311790606745,-1.19634767827488,0.231560910123389,1
"WBGene00000060",76.3052980743532,-1.65970841023256,0.662116064168565,-2.5066729234499,0.0121873427922544,0.515125264382389
"WBGene00000061",45.9455647207766,-3.67479422583653,1.26245309780602,-2.91083623797417,0.00360462889813774,0.233026345394342
"WBGene00000062",55.4664650114538,-0.709693684904419,1.08539881418894,-0.653855224113855,0.513205083673942,1
"WBGene00000063",11537.219431368,-1.25959223076852,1.52837321226965,-0.824139170103628,0.409860485848216,1
"WBGene00000064",12907.932870292,1.15373028869097,1.15029693117969,1.0029847576032,0.315868215603648,1
"WBGene00000065",16170.9317837885,-1.36647566397595,1.00381052030858,-1.36128844670396,0.173422552607705,1
"WBGene00000066",56917.7610314123,-0.271811440446147,1.12910241939204,-0.240732316021875,0.809762590826698,1
"WBGene00000067",28641.9522267786,1.68015001913315,1.20947156292265,1.38916041570512,0.164783975660158,1
"WBGene00000068",734.94396535269,-1.60924183919174,0.789620697356176,-2.03799348798713,0.0415505841241424,0.972646466370006
"WBGene00000069",105.126296971059,-1.11089022331833,0.822979296731023,-1.34983981702933,0.177067369786156,1
"WBGene00000070",821.69402779079,1.06432631068592,0.614832085663142,1.7310845277991,0.0834366895008408,1
"WBGene00000071",243.724150122502,-1.6412516247957,0.784870774724865,-2.0911106358509,0.0365181475135633,0.942186875753739
"WBGene00000072",316.349156956403,0.542055328650213,0.68090671456398,0.796078694858105,0.425986296595531,1
"WBGene00000073",1030.14392075495,-2.39716396062201,0.734159578706784,-3.26518107254638,0.00109394120399671,0.0933708322249471
"WBGene00000074",633.302774088971,-1.1236446965568,0.670691352343501,-1.67535289165517,0.0938650136106895,1
"WBGene00000075",352.379683760596,0.391011750427491,0.656232593618799,0.595843233374395,0.55127995881202,1
"WBGene00000079",1421.02259106062,0.455048900332341,0.597425287498813,0.761683360002141,0.446249009023713,1
"WBGene00000080",957.544709264225,-0.224476526013643,0.487682866816802,-0.460292007957639,0.645306636938203,1
"WBGene00000081",6300.6922152123,0.132269667807774,0.63752702453774,0.207473036776254,0.835640448074176,1
"WBGene00000082",330.278043118124,2.31509930425648,1.07728033670999,2.14902214898565,0.0316326442309495,0.871705933627202
"WBGene00000083",2058.70983955205,0.231802615789582,0.565449026714617,0.409944318299399,0.681846794064303,1
"WBGene00000084",174.026561550319,-0.430624838701858,0.701394642313468,-0.613955129855986,0.539244978240699,1
"WBGene00000085",74.2712622935071,-0.42745871800064,0.743667910067821,-0.574797852930962,0.565428019006472,1
"WBGene00000086",403.576776729163,-1.05794828319762,0.550637661224969,-1.92131479137127,0.0546920334954539,1
"WBGene00000088",631.839180250804,0.586466669571996,0.537421159996664,1.09126084573156,0.275158121210462,1
"WBGene00000089",565.102422026495,-0.809152710443929,0.706072293553772,-1.14599130688352,0.251798749012882,1
"WBGene00000090",614.773806361697,-0.263545929333541,0.557185913442152,-0.472994601937119,0.636217030381638,1
"WBGene00000092",887.092288296565,-0.571967022918293,0.660236371049616,-0.866306444173932,0.386322133299356,1
"WBGene00000093",642.236721615258,0.539570510790023,0.725948538880108,0.743262754715915,0.457322616296828,1
"WBGene00000094",139.641438108414,0.770975454013727,0.527738189878426,1.46090517760584,0.144041465529244,1
"WBGene00000095",602.150588102854,-0.627079000169833,0.4869425322897,-1.28778851422402,0.197819591564677,1
"WBGene00000096",33.1023078357847,-1.01990091292133,0.770840194124827,-1.32310292158451,0.185801153273618,1
"WBGene00000097",564.151709566398,-0.216741451526199,0.756070757931562,-0.286668210947815,0.774366380402538,1
"WBGene00000098",1177.2644368675,0.754318024098936,0.621517274977691,1.2136718551001,0.224873056015608,1
"WBGene00000099",450.389593226605,0.5179877812151,0.672841932687662,0.769850623230336,0.441388506513859,1
"WBGene00000100",2614.22588469479,-0.0806503678128866,0.721022568374611,-0.111855538717318,0.910937950254961,1
"WBGene00000101",879.050524103034,0.748512835294477,0.642296773510286,1.16536913489959,0.243869605387769,1
